"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_5_increase_social_support"
"11/14/2020 09:57:52:985 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","number-supported-initiatives","number-waste-collectors","debug?","number-cw","interaction-chance","resolution","verbose?","number-police-officers","random-seed","[step]","mean [pls] of citizens","standard-deviation [pls] of citizens"
"2","24","4","true","3","20","45","false","2","2","51","40.59842716999041","10.124160939075754"
"1","24","4","true","3","20","45","false","2","1","53","39.83514010737741","9.694754207591968"
"3","24","4","true","3","20","45","false","2","3","54","39.10851148465758","9.821171705577775"
"4","24","4","true","3","20","45","false","2","4","55","38.94807142062229","9.733224260096161"
"2","24","4","true","3","20","45","false","2","2","52","40.598857884276114","10.12422822519172"
"1","24","4","true","3","20","45","false","2","1","54","39.83514867880599","9.694796857724654"
"4","24","4","true","3","20","45","false","2","4","56","38.948930706336554","9.7331710958899"
"3","24","4","true","3","20","45","false","2","3","55","39.11016791322901","9.821321656179233"
"2","24","4","true","3","20","45","false","2","2","53","40.599445027133264","10.124349970440866"
"4","24","4","true","3","20","45","false","2","4","57","38.95122999205084","9.7331004432476"
"4","24","4","true","3","20","45","false","2","4","58","38.953767134907984","9.733055803013283"
"1","24","4","true","3","20","45","false","2","1","55","39.8351422502346","9.694807021723614"
"3","24","4","true","3","20","45","false","2","3","56","39.112079341800424","9.82145457136618"
"4","24","4","true","3","20","45","false","2","4","59","38.95646927776516","9.733008524022168"
"4","24","4","true","3","20","45","false","2","4","60","38.959272134908005","9.733035224320526"
"3","24","4","true","3","20","45","false","2","3","57","39.11431005608616","9.821572746466071"
"4","24","4","true","3","20","45","false","2","4","61","38.96210927776516","9.733036367067047"
"2","24","4","true","3","20","45","false","2","2","54","40.60015645570472","10.124400023675184"
"1","24","4","true","3","20","45","false","2","1","56","39.83519796452029","9.694823183230376"
"4","24","4","true","3","20","45","false","2","4","62","38.96493356347944","9.733079385066299"
"3","24","4","true","3","20","45","false","2","3","58","39.11672505608614","9.821737822721543"
"4","24","4","true","3","20","45","false","2","4","63","38.967744992050854","9.733074983396397"
"3","24","4","true","3","20","45","false","2","3","59","39.11936505608614","9.821824788920388"
"4","24","4","true","3","20","45","false","2","4","64","38.970560706336585","9.733101958807458"
"2","24","4","true","3","20","45","false","2","2","55","40.600985741418974","10.124283846915715"
"1","24","4","true","3","20","45","false","2","1","57","39.83641082166314","9.694764956090967"
"3","24","4","true","3","20","45","false","2","3","60","39.122116484657546","9.821873359452107"
"4","24","4","true","3","20","45","false","2","4","65","38.97344070633659","9.733119621391877"
"3","24","4","true","3","20","45","false","2","3","61","39.124927913228994","9.821902543596643"
"1","24","4","true","3","20","45","false","2","1","58","39.83773082166314","9.694717532287033"
"3","24","4","true","3","20","45","false","2","3","62","39.12779077037186","9.821909320679415"
"2","24","4","true","3","20","45","false","2","2","56","40.60208288427611","10.124244598389497"
"4","24","4","true","3","20","45","false","2","4","66","38.92864594443182","9.759734620094266"
"3","24","4","true","3","20","45","false","2","3","63","39.13062362751471","9.821910562949007"
"1","24","4","true","3","20","45","false","2","1","59","39.839070107377424","9.69469651244885"
"3","24","4","true","3","20","45","false","2","3","64","39.13346077037187","9.821894778436192"
"4","24","4","true","3","20","45","false","2","4","67","38.93149594443182","9.759771916281732"
"3","24","4","true","3","20","45","false","2","3","65","39.13626791322899","9.821892720707702"
"2","24","4","true","3","20","45","false","2","2","57","40.603398598561846","10.124193581522976"
"4","24","4","true","3","20","45","false","2","4","68","38.934335230146104","9.759766756930778"
"1","24","4","true","3","20","45","false","2","1","60","39.84181296452029","9.69465281689204"
"4","24","4","true","3","20","45","false","2","4","69","38.9371295158604","9.75976980094113"
"1","24","4","true","3","20","45","false","2","1","61","39.844590107377435","9.694601290174377"
"2","24","4","true","3","20","45","false","2","2","58","40.60472716999041","10.124257485598767"
"4","24","4","true","3","20","45","false","2","4","70","38.93997094443185","9.759748559147948"
"3","24","4","true","3","20","45","false","2","3","66","39.043862675133774","9.897953104448185"
"4","24","4","true","3","20","45","false","2","4","71","38.94282094443184","9.759753597703451"
"3","24","4","true","3","20","45","false","2","3","67","39.04668696084808","9.897926541054519"
"1","24","4","true","3","20","45","false","2","1","62","39.8474229645203","9.694550321460545"
"2","24","4","true","3","20","45","false","2","2","59","40.60613716999041","10.124267091912586"
"4","24","4","true","3","20","45","false","2","4","72","38.945628087288966","9.7597330349547"
"3","24","4","true","3","20","45","false","2","3","68","39.04950696084806","9.897911907891265"
"1","24","4","true","3","20","45","false","2","1","63","39.85022582166315","9.69454032176916"
"2","24","4","true","3","20","45","false","2","2","60","40.60891431284755","10.124319687075054"
"4","24","4","true","3","20","45","false","2","4","73","38.94836237300327","9.759783618098743"
"1","24","4","true","3","20","45","false","2","1","64","39.85303725023463","9.694545909086498"
"3","24","4","true","3","20","45","false","2","3","69","39.05234838941951","9.897935386603809"
"4","24","4","true","3","20","45","false","2","4","74","38.951040944431846","9.759880613619384"
"2","24","4","true","3","20","45","false","2","2","61","40.61176002713327","10.124373127268017"
"3","24","4","true","3","20","45","false","2","3","70","39.05517696084809","9.897966449477787"
"4","24","4","true","3","20","45","false","2","4","75","38.95359951586044","9.759961863665321"
"2","24","4","true","3","20","45","false","2","2","62","40.61459716999042","10.124357168314365"
"1","24","4","true","3","20","45","false","2","1","65","39.85585296452031","9.694563960624617"
"3","24","4","true","3","20","45","false","2","3","71","39.05799696084808","9.8979927973292"
"4","24","4","true","3","20","45","false","2","4","76","38.955759515860414","9.760065253063848"
"2","24","4","true","3","20","45","false","2","2","63","40.61746859856186","10.124366412593329"
"4","24","4","true","3","20","45","false","2","4","77","38.95670665871756","9.760077484137533"
"3","24","4","true","3","20","45","false","2","3","72","39.06090267513379","9.897994518544824"
"3","24","4","true","3","20","45","false","2","3","73","39.06376981799095","9.897969050882375"
"2","24","4","true","3","20","45","false","2","2","64","40.620310027133286","10.124380985021265"
"4","24","4","true","3","20","45","false","2","4","78","38.95749308728902","9.760011808451972"
"1","24","4","true","3","20","45","false","2","1","66","39.76348201213936","9.733219523727431"
"4","24","4","true","3","20","45","false","2","4","79","38.95875094443186","9.759928112136405"
"2","24","4","true","3","20","45","false","2","2","65","40.62313431284758","10.124375642909664"
"3","24","4","true","3","20","45","false","2","3","74","39.066568389419515","9.898015093874458"
"1","24","4","true","3","20","45","false","2","1","67","39.76628058356794","9.733231315885847"
"3","24","4","true","3","20","45","false","2","3","75","39.06913981799093","9.898008467011758"
"4","24","4","true","3","20","45","false","2","4","80","38.95924380157473","9.759992968892883"
"2","24","4","true","3","20","45","false","2","2","66","40.5307719318952","10.166258070287517"
"1","24","4","true","3","20","45","false","2","1","68","39.769079154996525","9.733206271678611"
"3","24","4","true","3","20","45","false","2","3","76","39.07147981799096","9.897968706165013"
"3","24","4","true","3","20","45","false","2","3","77","39.072540532276676","9.897921733931032"
"4","24","4","true","3","20","45","false","2","4","81","38.95962951586045","9.759974633098171"
"1","24","4","true","3","20","45","false","2","1","69","39.77188629785364","9.733168656746656"
"2","24","4","true","3","20","45","false","2","2","67","40.53363478903806","10.166235943365711"
"3","24","4","true","3","20","45","false","2","3","78","39.07413053227669","9.897809907627376"
"2","24","4","true","3","20","45","false","2","2","68","40.53648478903809","10.166290491317882"
"3","24","4","true","3","20","45","false","2","3","79","39.075461246562384","9.897665404581689"
"1","24","4","true","3","20","45","false","2","1","70","39.774744869282245","9.733133375451393"
"4","24","4","true","3","20","45","false","2","4","82","38.95988665871758","9.759815524038524"
"2","24","4","true","3","20","45","false","2","2","69","40.53931336046665","10.16627387393038"
"1","24","4","true","3","20","45","false","2","1","71","39.77758629785363","9.733122660244945"
"3","24","4","true","3","20","45","false","2","3","80","39.07601196084811","9.897635034874938"
"2","24","4","true","3","20","45","false","2","2","70","40.542159074752355","10.166275816105957"
"1","24","4","true","3","20","45","false","2","1","72","39.780359154996546","9.733129483608833"
"4","24","4","true","3","20","45","false","2","4","83","38.96015023014614","9.759805555074362"
"2","24","4","true","3","20","45","false","2","2","71","40.5450219318952","10.166276298199026"
